CustomerID,Recency,Frequency,Monetary
14439,319,1,2661.24
12501,314,2,2089.68
15808,305,5,3724.77
17850,301,35,5288.63
13093,266,13,7741.47
17230,263,11,3466.67
15032,255,5,4464.1
12755,249,4,2203.2
12754,235,5,2949.12
15749,234,4,21535.9
15235,217,12,2247.51
17597,213,1,2044.37
12625,211,3,2614.32
13952,210,3,3246.091
17504,205,10,2745.28
13135,196,1,3096.0
14828,196,3,2139.76
18231,191,6,2066.17
12590,189,3,9861.38
18260,172,8,2595.0
15379,168,8,3631.89
15665,167,2,2242.01
16553,162,14,5664.57
16919,155,11,2596.45
12980,155,12,7092.06
14016,153,5,4328.46
12653,148,2,2209.85
14461,147,3,2103.06
17444,147,3,2940.04
12840,143,6,2714.27
15704,139,4,2293.62
12916,138,5,2982.35
13802,137,6,3906.27
15245,133,3,2515.84
12378,129,1,4008.62
12643,127,6,3344.64
17723,126,6,3276.400000000001
17400,125,5,2129.96
13082,125,10,3595.48
13869,122,4,3104.95
15581,120,14,3429.97
13722,119,4,2369.16
12758,116,2,2791.59
12688,113,1,4873.809999999999
13027,113,6,6912.0
18073,113,13,3864.44
15797,112,4,2207.4
14930,108,3,2372.86
14364,108,8,3717.35
16550,108,9,2266.25
